age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous_contacts,previous_campaign_outcome,employment_variation_rate,consumer_price_index,consumer_confidence_index,euribor_3m_rate,number_of_employees,subscribed,contacted_before
30,not-working,married,high.school,no,no,no,telephone,may,mon,38,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
31,skilled-labor,single,university.degree,no,yes,no,telephone,may,fri,7,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
57,not-working,married,university.degree,no,yes,yes,telephone,apr,thu,41,1,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,no
37,skilled-labor,married,university.degree,no,yes,no,cellular,aug,mon,121,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,no
51,white-collar,married,university.degree,no,yes,no,cellular,nov,tue,275,2,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,no
31,white-collar,single,university.degree,no,no,no,cellular,aug,tue,507,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,no
36,not-working,single,university.degree,no,yes,no,cellular,jun,mon,205,1,1,success,-2.9,92.963,-40.8,1.266,5076.2,1,yes
40,white-collar,single,university.degree,no,no,no,telephone,jul,fri,241,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
31,white-collar,single,university.degree,no,yes,no,cellular,mar,mon,145,1,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,0,no
53,skilled-labor,married,high.school,no,yes,no,cellular,aug,tue,231,1,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,no
31,white-collar,married,high.school,no,no,no,telephone,may,wed,469,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
31,white-collar,divorced,university.degree,no,yes,no,cellular,aug,tue,269,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,no
29,not-working,married,high.school,no,no,yes,telephone,jun,tue,136,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,no
33,blue-collar,married,basic.9y,no,yes,yes,cellular,may,mon,239,2,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,no
31,skilled-labor,married,professional.course,no,yes,no,cellular,may,tue,80,1,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,no
58,not-working,married,university.degree,no,yes,no,cellular,aug,fri,92,1,0,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,0,no
50,self-employed,married,university.degree,no,no,no,telephone,may,wed,312,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,no
34,white-collar,divorced,university.degree,no,no,no,telephone,may,tue,382,2,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,no
50,skilled-labor,married,high.school,no,yes,no,telephone,may,wed,49,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
36,white-collar,married,high.school,no,yes,no,telephone,may,tue,111,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
45,skilled-labor,divorced,high.school,no,no,no,cellular,jul,mon,295,1,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,no
38,blue-collar,single,high.school,no,yes,no,telephone,mar,wed,557,1,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,1,no
49,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,235,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,no
36,not-working,married,high.school,no,no,no,telephone,may,fri,192,20,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,no
39,skilled-labor,divorced,basic.9y,no,yes,no,telephone,may,thu,51,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
46,white-collar,married,high.school,no,yes,yes,telephone,oct,wed,149,1,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5,0,no
35,not-working,divorced,basic.4y,no,yes,no,telephone,may,thu,98,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
37,skilled-labor,single,university.degree,no,yes,no,telephone,may,thu,30,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,no
34,self-employed,single,university.degree,no,yes,no,cellular,may,thu,87,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,no
57,blue-collar,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
32,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,11,9,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,no
35,blue-collar,married,basic.9y,no,no,no,cellular,apr,fri,402,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,no
32,blue-collar,single,university.degree,no,no,no,cellular,nov,mon,242,2,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,no
54,self-employed,married,university.degree,no,yes,no,cellular,aug,mon,323,2,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,0,no
26,white-collar,married,high.school,no,no,no,cellular,jul,thu,544,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,no
34,white-collar,single,high.school,no,no,no,telephone,may,wed,194,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,no
60,white-collar,married,university.degree,no,no,no,telephone,jun,wed,1574,3,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,no
36,white-collar,single,university.degree,no,yes,no,telephone,nov,thu,107,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,no
80,not-working,divorced,basic.4y,no,yes,no,cellular,apr,wed,354,1,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,0,no
36,skilled-labor,married,university.degree,no,yes,no,cellular,jun,mon,192,1,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,1,no
29,blue-collar,single,basic.9y,no,no,no,cellular,jul,wed,243,1,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,no
30,self-employed,single,university.degree,no,yes,yes,cellular,aug,wed,131,3,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0,no
35,skilled-labor,married,professional.course,no,no,no,telephone,mar,thu,282,2,1,success,-1.8,93.369,-34.8,0.65,5008.7,0,yes
45,self-employed,divorced,professional.course,no,yes,no,cellular,jul,tue,50,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,no
31,white-collar,divorced,high.school,no,no,no,cellular,jul,thu,128,6,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,no
29,white-collar,single,university.degree,no,no,no,cellular,aug,mon,716,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,no
39,white-collar,married,university.degree,no,no,no,telephone,jun,mon,135,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,no
38,white-collar,married,basic.6y,no,yes,no,cellular,jul,thu,135,3,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,no
27,white-collar,married,professional.course,no,no,no,cellular,may,thu,68,3,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,no
34,white-collar,single,professional.course,no,no,no,telephone,apr,thu,130,1,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,no
42,self-employed,married,university.degree,no,yes,no,telephone,jul,thu,1088,14,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,1,no
